,empirical_last_value,sluggish_moving_average,slowly_moving_average,quickly_moving_average,rapidly_moving_average,balanced_ema_ensemble,aggressive_ema_ensemble,precision_ema_ensemble,thinking_fast_and_fast,thinking_fast_and_slow,thinking_slow_and_slow,thinking_slow_and_fast,thinking_precision_ensemble,quick_balanced_ema_ensemble,slow_balanced_ema_ensemble,quick_aggressive_ema_ensemble,slow_aggressive_ema_ensemble,quick_precision_ema_ensemble,slow_precision_ema_ensemble
0,-0.01347660471175649,,,,,,,,,,,,,,,,,,
1,-0.08219780293945544,,,,,,,,,,,,,,,,,,
2,0.5383247210942168,,,,,,,,,,,,,,,,,,
3,-0.5354982968627302,,,,,,,,,,,,,,,,,,
4,0.38562368776263933,,,,,,,,,,,,,,,,,,
5,-1.725044606865065,,,,,,,,,,,,,,,,,,
6,-1.909737431621688,,,,,,,,,,,,,,,,,,
7,0.7194031339398217,,,,,,,,,,,,,,,,,,
8,2.4904563470597902,,,,,,,,,,,,,,,,,,
9,0.07489247980375713,,,,,,,,,,,,,,,,,,
10,0.2124445379149562,,,,,,,,,,,,,,,,,,
11,-0.468223809773858,,,,,,,,,,,,,,,,,,
12,0.8080581920125931,,,,,,,,,,,,,,,,,,
13,-0.7201620479261059,,,,,,,,,,,,,,,,,,
14,0.27746450734674966,,,,,,,,,,,,,,,,,,
15,-0.3897109057108501,,,,,,,,,,,,,,,,,,
16,0.503407040002325,,,,,,,,,,,,,,,,,,
17,0.4280887019852839,,,,,,,,,,,,,,,,,,
18,-0.47942148805094553,,,,,,,,,,,,,,,,,,
19,0.6472237796480277,,,,,,,,,,,,,,,,,,
20,0.06987999799561018,,,,,,,,,,,,,,,,,,
21,0.21407484591633313,,,,,,,,,,,,,,,,,,
22,-0.6044667368212655,,,,,,,,,,,,,,,,,,
23,-0.44672904901161514,,,,,,,,,,,,,,,,,,
24,-0.6470506430141101,,,,,,,,,,,,,,,,,,
25,0.8615958045180581,,,,,,,,,,,,,,,,,,
26,-0.8810061811218015,,,,,,,,,,,,,,,,,,
27,1.3662075452040552,,,,,,,,,,,,,,,,,,
28,-1.412579654567265,,,,,,,,,,,,,,,,,,
29,-0.20632713327235175,,,,,,,,,,,,,,,,,,
30,0.5037653007617795,,,,,,,,,,,,,,,,,,
31,-11.28500931930309,,,,,,,,,,,,,,,,,,
32,4.275961136928229,,,,,,,,,,,,,,,,,,
33,2.9154579680223067,,,,,,,,,,,,,,,,,,
34,2.803907010109142,,,,,,,,,,,,,,,,,,
35,1.1005681903272544,,,,,,,,,,,,,,,,,,
36,0.42073295699186986,,,,,,,,,,,,,,,,,,
37,0.9756613834867309,,,,,,,,,,,,,,,,,,
38,-0.3845348416872254,,,,,,,,,,,,,,,,,,
39,0.4239899153347795,,,,,,,,,,,,,,,,,,
40,-0.29238211157407346,,,,,,,,,,,,,,,,,,
41,-0.10785228309327932,,,,,,,,,,,,,,,,,,
42,0.1961289706154068,,,,,,,,,,,,,,,,,,
43,-0.7254723006854031,,,,,,,,,,,,,,,,,,
44,0.735182254490146,,,,,,,,,,,,,,,,,,
45,0.22259938970168047,,,,,,,,,,,,,,,,,,
46,-1.622527338777251,,,,,,,,,,,,,,,,,,
47,0.7390800519609655,,,,,,,,,,,,,,,,,,
48,-1.1867599746708832,,,,,,,,,,,,,,,,,,
49,1.7295898959757647,,,,,,,,,,,,,,,,,,
50,-0.6852502401080467,,,,,,,,,,,,,,,,,,
51,1.0573918030887781,,,,,,,,,,,,,,,,,,
52,-0.4735119060563807,,,,,,,,,,,,,,,,,,
53,-0.2511494701478003,,,,,,,,,,,,,,,,,,
54,0.3361318905544439,,,,,,,,,,,,,,,,,,
55,0.2397340251912531,,,,,,,,,,,,,,,,,,
56,0.022857996069236886,,,,,,,,,,,,,,,,,,
57,-0.2649136852485685,,,,,,,,,,,,,,,,,,
58,-0.7472934259381523,,,,,,,,,,,,,,,,,,
59,0.945811879915511,,,,,,,,,,,,,,,,,,
60,-1.399065456357682,,,,,,,,,,,,,,,,,,
61,1.3982397601133747,,,,,,,,,,,,,,,,,,
62,0.11013350433094493,,,,,,,,,,,,,,,,,,
63,-0.5192960545296651,,,,,,,,,,,,,,,,,,
64,-0.024095656255888498,,,,,,,,,,,,,,,,,,
65,0.1307670957932605,,,,,,,,,,,,,,,,,,
66,-0.10204622180370837,,,,,,,,,,,,,,,,,,
67,0.1804562349698371,,,,,,,,,,,,,,,,,,
68,-0.060608498662767074,,,,,,,,,,,,,,,,,,
69,-0.31887502884358043,,,,,,,,,,,,,,,,,,
70,-0.22440608199181944,,,,,,,,,,,,,,,,,,
71,0.1843429732850237,,,,,,,,,,,,,,,,,,
72,-0.5017412254197917,,,,,,,,,,,,,,,,,,
73,-0.36303479679413475,,,,,,,,,,,,,,,,,,
74,0.572563923416656,,,,,,,,,,,,,,,,,,
75,0.003751839044409566,,,,,,,,,,,,,,,,,,
76,-0.20840196371839914,,,,,,,,,,,,,,,,,,
77,0.60549620524052,,,,,,,,,,,,,,,,,,
78,-0.564286441601562,,,,,,,,,,,,,,,,,,
79,-0.6166614556965493,,,,,,,,,,,,,,,,,,
80,0.26672829794566777,,,,,,,,,,,,,,,,,,
81,0.901569792484239,,,,,,,,,,,,,,,,,,
82,-1.7242925781582343,,,,,,,,,,,,,,,,,,
83,-0.7924833349596048,,,,,,,,,,,,,,,,,,
84,2.351954766917723,,,,,,,,,,,,,,,,,,
85,-1.3047964211974195,,,,,,,,,,,,,,,,,,
86,-0.22587166780063006,,,,,,,,,,,,,,,,,,
87,-2.6291689395258873,,,,,,,,,,,,,,,,,,
88,-0.4222285229967815,,,,,,,,,,,,,,,,,,
89,2.8307053790747974,,,,,,,,,,,,,,,,,,
90,-1.2062620799933912,,,,,,,,,,,,,,,,,,
91,2.828364609637765,,,,,,,,,,,,,,,,,,
92,-0.7148816815708241,,,,,,,,,,,,,,,,,,
93,-3.2496061749904035,,,,,,,,,,,,,,,,,,
94,-2.4684185381581925,,,,,,,,,,,,,,,,,,
95,2.9343634159151186,,,,,,,,,,,,,,,,,,
96,3.02027285186921,,,,,,,,,,,,,,,,,,
97,-0.9960261549735012,,,,,,,,,,,,,,,,,,
98,-2.7686007263851797,,,,,,,,,,,,,,,,,,
99,2.0484658471509887,,,,,,,,,,,,,,,,,,
100,0.2566773923610093,,,,,,,,,,,,,,,,,,
101,1.130918553995643,,,,,,,,,,,,,,,,,,
102,-2.542797175261439,,,,,,,,,,,,,,,,,,
103,3.1901986581153077,,,,,,,,,,,,,,,,,,
104,-0.9800019168174978,,,,,,,,,,,,,,,,,,
105,1.5642300124415418,,,,,,,,,,,,,,,,,,
106,-4.040260894437976,,,,,,,,,,,,,,,,,,
107,1.6089143199944886,,,,,,,,,,,,,,,,,,
108,2.0118333172354963,,,,,,,,,,,,,,,,,,
109,0.05785217649959695,,,,,,,,,,,,,,,,,,
110,-0.05747167772617012,,,,,,,,,,,,,,,,,,
111,0.5887318183028163,,,,,,,,,,,,,,,,,,
112,-0.09712528031668688,,,,,,,,,,,,,,,,,,
113,-0.625431690133502,,,,,,,,,,,,,,,,,,
